registered_voters,percentage,Deduction,District
88834,62,0,APAC
65738,55,-7,ARUA
113472,65,+10,BUNDIBUGYO
140415,62,-3,BUSHENYI
45342,48,-14,GULU
90617,61,+13,HOIMA
186519,52,-9,IGANGA
120278,54,+2,JINJA
136559,67,+13,KABALE
107428,61,-6,KABAROLE
35465,56,-5,KALANGALA
1280409,43,-13,KAMPALA
236917,56,+13,KAMULI
56051,72,+16,KAPCHORWA
384058,61,-11,KASESE
68857,64,+3,KIBAALE
81434,62,-2,KIBOGA
158552,71,+9,KISORO
99234,56,-15,KITGUM
61086,72,+16,KOTIDO
119112,59,-13,KUMI
103180,62,+3,LIRA
257115,59,-3,LUWERO
55626,65,+6,MASAKA
154805,56,-9,MASINDI
108400,66,+10,MBALE
84209,69,+3,MBARARA
38004,70,+1,MOROTO
45367,57,-13,MOYO
135726,64,+7,MPIGI
196565,61,-3,MUBENDE
355275,54,-7,MUKONO
130508,56,+2,NEBBI
268541,71,+15,NTUNGAMO
131370,66,-5,PALLISA
135169,63,-3,RAKAI
185118,61,-2,RUKUNGIRI
92720,70,+9,SOROTI
268434,60,-10,TORORO
79364,62,+2,ADJUMANI
193053,54,-8,BUGIRI
163571,62,+8,BUSIA
83162,68,+6,KATAKWI
89647,64,-4,NAKASONGOLA
132240,62,-2,SSEMBABULE
117466,78,+16,KAMWENGE
190977,56,-22,KAYUNGA
215012,62,+6,KYENJOJO
231116,53,-9,MAYUGE
82298,58,+5,PADER
132465,62,+4,SIRONKO
1154857,50,-12,WAKISO
113855,66,+16,YUMBE
52210,66,0,KABERAMAIDO
146064,60,-6,KANUNGU
32661,75,+15,NAKAPIRIPIRIT
71173,75,0,AMOLATAR
88722,66,-9,AMURIA
44126,75,+9,BUKWO
110737,64,-11,BUTALEJA
140486,65,+1,IBANDA
233099,87,+22,ISINGIRO
41211,80,-7,KAABONG
109466,64,-16,KALIRO
81891,94,+30,KIRUHURA
92845,55,-39,KOBOKO
79924,64,+9,MANAFWA
176029,66,+2,MITYANA
107133,69,+3,NAKASEKE
36539,67,-2,ABIM
87122,44,-23,AMURU
100900,63,+19,BUDAKA
44869,63,0,BULIISA
93712,64,+1,DOKOLO
121149,59,-5,NAMUTUMBA
184088,56,-3,OYAM
101182,52,-4,MARACHA
73039,64,+12,BUDUDA
99828,62,-2,BUKEDEA
51076,65,+3,LYANTONDE
43647,72,+7,AMUDAT
235640,56,-16,BUIKWE
138849,61,+5,BUYENDE
138528,61,0,KYEGEGWA
65223,56,-5,LAMWO
48541,70,+14,OTUKE
123432,52,-18,ZOMBO
115804,59,+7,ALEBTONG
71664,73,+14,BULAMBULI
42415,52,-21,BUVUMA
81314,68,+16,GOMBA
125685,47,-21,KIRYANDONGO
108311,63,+16,KYANKWANZI
116094,55,-8,LUUKA
107234,57,+2,NAMAYINGO
38098,66,+9,NTOROKO
130290,61,-5,SERERE
76557,62,+1,BUKOMANSIMBI
55813,68,+6,BUTAMBALA
88687,64,-4,KALUNGU
129151,64,0,SHEEMA
91971,66,+2,KIBUKU
119437,59,-7,KOLE
47080,72,+13,KWEEN
139772,63,-9,LWENGO
111839,61,-2,MITOOMA
56678,66,+5,NAPAK
72976,62,-4,NGORA
66649,73,+11,BUHWEJU
57186,47,-26,NWOYA
98354,68,+21,AGAGO
73848,67,-1,RUBIRIZI
175680,65,-2,KAGADI
140691,64,-1,KAKUMIRO
72216,51,-13,OMORO
111615,71,+20,RUBANDA
92440,63,-8,BUNYANGABU
51443,71,+8,BUTEBO
124872,63,-8,KYOTERA
97191,60,-3,NAMISINDWA
78801,61,+1,PAKWACH
60965,65,+4,RUKIGA
84953,55,-10,BUGWERI
39629,69,+14,KAPELEBYONG
134798,64,-5,KASSANDA
112825,59,-5,KIKUUBE
87587,64,+5,KWANIA
21367,79,+15,NABILATUK
53973,67,-12,KALAKI
18035,82,+15,KARENGA
92843,81,-1,KAZO
76037,63,-18,KITAGWENDA
63404,62,-1,MADI
19321,67,+5,OBONGI
70346,60,-7,RWAMPARA
170066,46,-14,ARUA
103401,34,-12,GULU
154750,46,+12,JINJA
65163,58,+12,FORT
114511,48,-10,MBARARA
122339,58,+10,MASAKA
147774,53,-5,MBALE
95118,56,+3,TEREGO
111772,49,-7,LIRA
62018,58,+9,HOIMA
56019,56,-2,SOROTI
