district,,reg_voters,valid_votes,percentage_total,deduction,invalid_votes,,,,,,,,,,,,,,,,,,
APAC,,88834,52252,62,0,3161,,,,,,,,,,,,,,,,,,337589
ARUA,,65738,33804,55,-7,2263,,,,,,,,,,,,,,,,,,45424
BUNDIBUGYO,,113472,71773,65,+10,2145,,,,,,,,,,,,,,,,,,38772
BUSHENYI,,140415,84741,62,-3,2674,,,,,,,,,,,,,,,,,,37554
GULU,,45342,19839,48,-14,2055,,,,,,,,,,,,,,,,,,3631437
HOIMA,,90617,52732,61,+13,2971,,,,,,,,,,,,,,,,,,57682
IGANGA,,186519,93952,52,-9,3368,,,,,,,,,,,,,,,,,,15014
JINJA,,120278,62361,54,+2,3115,,,,,,,,,,,,,,,,,,67574
KABALE,,136559,88777,67,+13,2247,,,,,,,,,,,,,,,,,,25483
KABAROLE,,107428,62223,61,-6,3256,,,,,,,,,,,,,,,,,,51392
KALANGALA,,35465,18741,56,-5,1000,,,,,,,,,,,,,,,,,,6042898
KAMPALA,,1280409,537980,43,-13,12624,,,,,,,,,,,,,,,,,,
KAMULI,,236917,127831,56,+13,5899,,,,,,,,,,,,,,,,,,
KAPCHORWA,,56051,39466,72,+16,1021,,,,,,,,,,,,,,,,,,
KASESE,,384058,227322,61,-11,6682,,,,,,,,,,,,,,,,,,
KIBAALE,,68857,42227,64,+3,1494,,,,,,,,,,,,,,,,,,
KIBOGA,,81434,48577,62,-2,2052,,,,,,,,,,,,,,,,,,
KISORO,,158552,109032,71,+9,2982,,,,,,,,,,,,,,,,,,
KITGUM,,99234,50980,56,-15,4459,,,,,,,,,,,,,,,,,,
KOTIDO,,61086,38842,72,+16,4846,,,,,,,,,,,,,,,,,,
KUMI,,119112,67387,59,-13,3336,,,,,,,,,,,,,,,,,,
LIRA,,103180,60604,62,+3,2882,,,,,,,,,,,,,,,,,,
LUWERO,,257115,147315,59,-3,4649,,,,,,,,,,,,,,,,,,
MASAKA,,55626,34961,65,+6,1187,,,,,,,,,,,,,,,,,,
