id,comment_id,Comment
394,1320,Kenneth managed to complete this week's main task of setting up the development enviroment for  the messaging app.
395,1321,"Despite afew challenges especially with the programming language, Marvin managed to complete this week's main task of setting up the development environment for the messaging app."
398,1324,"Calvin has successfully completed this week's tasks, that is,  setting up the development enviroment for the messaging app."
402,1329,Francis has started internship. He has also managed to set up the development enviroment for a messaging app by installing the necessary software and tools.
410,1338,Moses successfully set up the development enviroment.
411,1339,Daniel successfully set up the development enviroment. I also encourage him to upgrade his machine
414,1343,"Despite a few challenges, Mwesigwa managed to set up the  development enviroment."
426,1356,"Despite a few challenges with errors, Collins managed to set up the development enviroment"
429,1359,"Despite a few challenges with internet, Nuhu managed to set up the development environment for the messaging app."
436,1367,Jackson managed to set up the development enviroment for the messaging app.
438,1369,Ruth successfully set up the development enviroment  and so far she is doing well.
440,1371,Ismail managed to install and configure the software needed for the messaging app.
477,1415,Junior has started internship at Stratcom and his area of interest is coding. He has also managed to set up the development environment for a messaging app.
479,1420,Kenneth successfully completed this week's main tasks without any challenges. He also deployed the messaging app online and  it can be accessed by any one connected to internet.
511,1456,"Despite afew challenges, Francis has managed to complete this week's tasks. That is, setting up the database enviroment for the messaging App."
561,1511,"Despite a few challenges, Jacintah managed to set up the development environment."
565,1515,"Despite a few challenges, Rebecca managed to set up the development environment."
610,1573,Phiona managed to set up the development enviroment
625,1597,"Most Developers spend their time debugging errors.  I encourage Yvette to learn how to  debug coding errors. Otherwise, she successfully deployed the messaging app online."
646,1622,"He successfully deployed the messaging App online and it can be accessed by anyone connected to internet. However, this offer is valid for 4 months."
652,1628,Francis has successfully coded a messaging app from scratch. His next project is coding a mobile App from scratch using the latest technologies.
665,1644,Sandra successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
668,1648,Mary successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
669,1649,"I encourage Resty to upgrade her machine. Otherwise, she successfully deployed the messaging app."
670,1650,Mariam managed to debug coding errors and successfully deployed the messaging app online. The app can be accessed by anyone connected to internet.
671,1651,Joshua successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
672,1652,Davis successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
675,1655,Abudlah successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
677,1657,Chrispus successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
678,1658,Gloria successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
680,1660,Alex successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
685,1667,Martha successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
688,1672,Catherine managed to deploy the messaging app online and it can be accessed by anyone connected to internet.
691,1675,"Despite a few challenges, Rogers managed to code the messaging app. He also deployed it online and it can be accessed by anyone connected to internet. However, this offer is valid for 4 months."
692,1676,He successfully deployed the messaging app online and it can be accessed by any one connected to internet. This offer is valid for 4 months.
693,1677,Dauglas successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
701,1685,"Collins successfully deployed the messaging app online, and it can be accessed by anyone connected to internet. He is also entitled to a free hosting server and domain for the next 4 months."
704,1688,"Despite a few coding challenges, Jackson managed to deploy the messaging app online and it can be accessed by anyone connected to internet. This offer is valid for 4 months"
721,1708,Raymond successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
722,1709,Ismail managed to deploy the messaging app online. This app can be accessed by anyone connected to internet and this offer is valid for the next 4 months.
723,1710,Pamella successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
732,1719,Xavier successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
737,1724,Emmanuel successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
738,1725,"Ruth successfully completed this week's main task, that is, deploying the messaging app online. This app can be accessed by any one connected to internet."
748,1739,Louisa successfully deployed the messaging app online and it can be accessed by anyone over the internet. He is also entitled to a free hosting server and domain for the next 4 months.
766,1764,She successfully deployed the messaging app online and it can be accessed by anyone connected to internet.
767,1765,"Despite afew challenges, Rebecca managed to deploy the messaging app and it can be accessed by anyone connected to internet."
769,1769,Phiona successfully deployed the messaging app online and it can be accessed by any one  connected to internet.
772,1773,Calvin successfully deployed the messaging app online and it can be accessed by any one connected to internet. This offer is valid for 4 months.
806,1822,Davis successfully set up the mobile app development enviroment.
809,1825,Yvette successfully set up the mobile app development enviroment without any challenges.
812,1828,Louisa managed to set up the mobile app development enviroment without any challenges
825,1843,"Despite a few challenges, Aida managed to start internship at Stratcom. She has completed this week's main task of setting up the development environment for a messaging App."
832,1852,Stom successfully completed this week's main task of setting up the development environment for a mobile App.
